,CASE_STATUS,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE
2497984,CERTIFIED,programmer analyst,Y,82368.0,2012.0,texas
1998556,CERTIFIED,computer systems engineer,Y,42702.0,2013.0,california
1949461,CERTIFIED,sql bi developer - computer programmer,Y,48818.0,2013.0,pennsylvania
1648219,CERTIFIED,programmer analyst,Y,84323.0,2014.0,new jersey
1277991,CERTIFIED-WITHDRAWN,staff software engineer,Y,99548.8,2014.0,california
1489992,CERTIFIED,software engineer,Y,63294.0,2014.0,texas
2565293,CERTIFIED,"computer software engineer, applications",Y,101629.0,2012.0,new york
1143868,CERTIFIED,software engineer,Y,77210.0,2015.0,new jersey
248380,WITHDRAWN,computer programmer,N,58053.0,2016.0,new york
1366866,CERTIFIED,programmer  analyst,Y,64334.0,2014.0,pennsylvania
2836614,CERTIFIED,software engineer,Y,66622.0,2011.0,virginia
231338,CERTIFIED,programmer analyst,N,51730.0,2016.0,new jersey
1872432,CERTIFIED,programmer analyst,Y,47549.0,2013.0,minnesota
1548080,CERTIFIED,computer programmer,Y,58469.0,2014.0,indiana
1813151,CERTIFIED,onsite coordinator / software developer,Y,72218.0,2013.0,georgia
887106,CERTIFIED-WITHDRAWN,sas programmer/analyst,Y,52478.4,2015.0,pennsylvania
2827339,CERTIFIED,computer programmer,Y,58489.6,2011.0,texas
1874571,CERTIFIED,software developer,Y,87402.0,2013.0,california
212915,CERTIFIED,programmer analyst,N,60549.0,2016.0,virginia
1346159,CERTIFIED,"computer software engineer, applications",Y,105789.0,2014.0,new york
142833,CERTIFIED-WITHDRAWN,computer systems analyst,N,62566.0,2016.0,texas
2914393,CERTIFIED,software engineer,Y,99653.0,2011.0,california
1556776,CERTIFIED,software developer,Y,60736.0,2014.0,texas
222772,CERTIFIED,computer programmer/configurer  1,N,46696.0,2016.0,massachusetts
2879917,CERTIFIED,bioinformatics programmer analyst ii,Y,79394.0,2011.0,california
253100,CERTIFIED,programmer analyst,N,56014.0,2016.0,north carolina
85621,DENIED,computer systems analysts,N,69805.0,2016.0,california
1788228,WITHDRAWN,sr. programmer analyst,Y,69097.6,2013.0,michigan
1058591,CERTIFIED,programmer analyst,Y,73320.0,2015.0,florida
328520,CERTIFIED-WITHDRAWN,software engineer,Y,98342.0,2016.0,california
996851,CERTIFIED,software engineer,Y,69805.0,2015.0,california
2439251,CERTIFIED,financial programmer,Y,52478.0,2012.0,new york
317918,CERTIFIED,programmer analyst,Y,98342.0,2016.0,california
1710766,CERTIFIED,senior software engineer,Y,93106.0,2014.0,pennsylvania
648149,CERTIFIED-WITHDRAWN,software engineer,Y,53684.8,2015.0,colorado
2942030,CERTIFIED,programmer analyst,Y,59030.0,2011.0,new jersey
1811945,CERTIFIED,computer programmer analyst,Y,58240.0,2013.0,massachusetts
237724,CERTIFIED,programmer analyst,N,54725.0,2016.0,pennsylvania
1773021,CERTIFIED,programmer analyst,Y,97115.0,2014.0,washington
1168906,CERTIFIED,software engineer,Y,72010.0,2015.0,new jersey
722035,CERTIFIED,programmer analyst,Y,74318.4,2015.0,california
1407428,CERTIFIED,staff software engineer - voice recognition,Y,126006.0,2014.0,california
2708333,CERTIFIED-WITHDRAWN,programmer analyst,Y,48360.0,2011.0,idaho
2960277,CERTIFIED,programmer/analyst,Y,49442.0,2011.0,texas
1400943,CERTIFIED,programmer/analyst,Y,45011.0,2014.0,pennsylvania
819578,CERTIFIED,sr. computer programmer analyst,Y,60507.0,2015.0,north carolina
357602,CERTIFIED,software developer,N,50856.0,2016.0,illinois
1996395,CERTIFIED,computer programmer analyst,Y,51210.0,2013.0,ohio
2324710,CERTIFIED,computer specialist/testing quality analyst 2,Y,59218.0,2012.0,illinois
241599,CERTIFIED,data stage/etl programmer,Y,86029.0,2016.0,new jersey
1541405,CERTIFIED-WITHDRAWN,computer programmer analyst,Y,51210.0,2014.0,texas
368854,CERTIFIED,software engineer,Y,87298.0,2016.0,new jersey
1519367,CERTIFIED-WITHDRAWN,software engineer in test,Y,93267.0,2014.0,california
2956322,CERTIFIED,programmer analyst,Y,52478.0,2011.0,new york
251284,CERTIFIED,programmer analyst,N,51730.0,2016.0,new jersey
1673670,CERTIFIED,senior software engineer,Y,74235.2,2014.0,virginia
238758,CERTIFIED,programmer analyst,N,45136.0,2016.0,kansas
1032566,CERTIFIED,programmer analyst,Y,52874.0,2015.0,pennsylvania
1604844,CERTIFIED,software engineer (software quality assurance engi,Y,69597.0,2014.0,nevada
1682901,CERTIFIED,senior programmer analyst,Y,64313.6,2014.0,missouri
679312,CERTIFIED,software engineer,Y,79668.0,2015.0,texas
388426,CERTIFIED,senior software developer rms,Y,103979.0,2016.0,ohio
2751476,CERTIFIED,programmer analyst,Y,46446.0,2011.0,florida
2443205,CERTIFIED,software engineer,Y,123282.0,2012.0,california
1408238,CERTIFIED,software engineer developer (machine learning),Y,101109.0,2014.0,california
692987,CERTIFIED,programmer analyst,Y,51605.0,2015.0,texas
1803095,CERTIFIED,computer systems analyst,Y,70429.0,2013.0,illinois
1879833,CERTIFIED,senior software engineer,Y,92789.0,2013.0,california
210120,CERTIFIED,programmer analyst,N,67330.0,2016.0,minnesota
2518935,CERTIFIED,programmer analyst,Y,54912.0,2012.0,california
1876040,CERTIFIED,computer programmer analyst,Y,61714.0,2013.0,pennsylvania
2093193,CERTIFIED,computer systems analyst,Y,52936.0,2013.0,texas
318872,CERTIFIED,software engineer,Y,98342.0,2016.0,california
2558010,CERTIFIED,computer systems analyst,Y,92290.0,2012.0,california
1499229,CERTIFIED,programmer analyst,Y,52770.0,2014.0,new jersey
1238453,CERTIFIED,software developer,Y,65042.0,2015.0,texas
1581471,CERTIFIED,programmer analyst,Y,62712.0,2014.0,illinois
681646,CERTIFIED,staff software engineer,Y,77563.0,2015.0,california
287878,CERTIFIED,"software developer, itccs",N,66498.0,2016.0,texas
2360408,CERTIFIED,programmer analyst,Y,52478.0,2012.0,new jersey
1030659,CERTIFIED,programmer analyst,Y,55598.0,2015.0,ohio
208740,CERTIFIED,sas programmer,N,67059.0,2016.0,pennsylvania
2568617,CERTIFIED,"computer software engineer, applications",Y,77168.0,2012.0,missouri
780396,CERTIFIED,computer programmer,Y,55203.0,2015.0,michigan
922101,CERTIFIED,programmer analyst,Y,48110.0,2015.0,texas
2482049,CERTIFIED,programmer analyst,Y,59592.0,2012.0,california
2932694,DENIED,programmer analyst,Y,54912.0,2011.0,california
2213901,CERTIFIED,computer system analyst,Y,60902.0,2013.0,massachusetts
1584046,CERTIFIED,software developer,Y,71822.0,2014.0,pennsylvania
2866206,CERTIFIED,programmer/analyst,Y,54163.0,2011.0,new jersey
2505459,CERTIFIED,programmer analyst,Y,54080.0,2012.0,virginia
124589,CERTIFIED,software engineer/developer,Y,81265.6,2016.0,new jersey
242391,CERTIFIED,programmer/analyst,N,67642.0,2016.0,georgia
2498457,CERTIFIED,programmer analyst,Y,52458.0,2012.0,ohio
2081001,CERTIFIED,programmer analyst,Y,54933.0,2013.0,ohio
374197,CERTIFIED,software engineer,Y,120349.0,2016.0,california
1056896,CERTIFIED,computer systems analyst,Y,68328.0,2015.0,illinois
1457325,CERTIFIED,programmer,Y,71074.0,2014.0,georgia
2580722,CERTIFIED-WITHDRAWN,senior software engineer,Y,67350.0,2012.0,wisconsin
1482360,CERTIFIED,computer programmer,Y,54330.0,2014.0,virginia
298557,CERTIFIED,hadoop software engineer,Y,117603.2,2016.0,california
730445,CERTIFIED,programmer analyst,Y,63981.0,2015.0,texas
1596218,CERTIFIED,senior software developer,Y,76773.0,2014.0,texas
1687497,CERTIFIED,programmer analyst,Y,68723.2,2014.0,florida
2943390,CERTIFIED,computer programmer/configurer 2,Y,68515.0,2011.0,texas
1059810,CERTIFIED,computer systems engineer/architect,Y,62878.0,2015.0,delaware
286500,CERTIFIED-WITHDRAWN,software engineer,Y,83741.0,2016.0,new jersey
754369,CERTIFIED,programmer analyst,Y,60000.0,2015.0,new york
901672,CERTIFIED,computer programmer,Y,39603.0,2015.0,new york
208978,CERTIFIED,senior software engineer,N,42245.0,2016.0,louisiana
2456642,CERTIFIED,programmer analyst,Y,57221.0,2012.0,north carolina
2947431,CERTIFIED,computer programmer,Y,47154.0,2011.0,florida
906674,CERTIFIED,programmer analyst,Y,43264.0,2015.0,michigan
2523817,CERTIFIED,computer systems analyst,Y,57450.0,2012.0,washington
1753231,CERTIFIED,programmer analyst,Y,57179.0,2014.0,california
1893334,CERTIFIED,principal software engineer/developer,Y,80080.0,2013.0,north carolina
2654841,CERTIFIED,programmer analyst,Y,68806.0,2011.0,texas
1449165,CERTIFIED,software engineer,Y,98675.0,2014.0,california
268781,WITHDRAWN,computer programmer analyst,N,60570.0,2016.0,illinois
1962144,CERTIFIED,senior programmer analyst,Y,101421.0,2013.0,new jersey
1834797,CERTIFIED,computer systems engineer,Y,47590.0,2013.0,michigan
2215312,CERTIFIED,programmer analyst/sap,Y,76357.0,2013.0,illinois
2066664,CERTIFIED,senior software engineer,Y,108888.0,2013.0,california
2990169,CERTIFIED,programmer analyst,Y,50128.0,2011.0,virginia
2206897,CERTIFIED,computer programmer,Y,57574.0,2013.0,ohio
411438,CERTIFIED,"software developer, systems software",Y,76731.0,2016.0,wisconsin
2253441,CERTIFIED,programmer analyst,Y,51292.8,2012.0,new york
1358022,CERTIFIED,software engineer,Y,116605.0,2014.0,california
2790065,CERTIFIED,computer programmer,Y,50357.0,2011.0,illinois
1024493,CERTIFIED-WITHDRAWN,programmer analyst,Y,61589.0,2015.0,ohio
335049,CERTIFIED-WITHDRAWN,software engineer,Y,103145.0,2016.0,california
2433128,CERTIFIED,computer programmer,Y,58157.0,2012.0,minnesota
681084,CERTIFIED,computer programmer,Y,68640.0,2015.0,texas
340061,CERTIFIED,software developer,N,63128.0,2016.0,north carolina
2333323,CERTIFIED-WITHDRAWN,programmer analyst,Y,72197.0,2012.0,california
224297,CERTIFIED,computer programmer,N,58053.0,2016.0,new jersey
366714,CERTIFIED,software engineer 1,N,57325.0,2016.0,georgia
243755,CERTIFIED,web programmer,Y,85634.0,2016.0,california
1938916,CERTIFIED,software engineer,Y,59114.0,2013.0,missouri
1076706,CERTIFIED,programmer analyst,Y,58885.0,2015.0,texas
108043,CERTIFIED,computer systems analyst,N,62234.0,2016.0,minnesota
1212380,CERTIFIED,programmer analyst,Y,74714.0,2015.0,new york
224309,CERTIFIED-WITHDRAWN,computer analyst and software developer,N,48422.0,2016.0,texas
2898803,CERTIFIED,new associate programmer analyst,Y,59613.0,2011.0,new york
2874545,CERTIFIED,software engineer,Y,71406.0,2011.0,ohio
676289,CERTIFIED,programmer analyst,Y,56118.0,2015.0,texas
1566923,CERTIFIED,computer programmer,Y,61734.0,2014.0,texas
1509011,CERTIFIED,programmer analyst,Y,63274.0,2014.0,florida
255672,CERTIFIED,programmer analyst,N,45011.0,2016.0,texas
1298030,CERTIFIED,software engineer,Y,73861.0,2014.0,california
845012,CERTIFIED,programmer analyst,Y,61776.0,2015.0,georgia
2927116,CERTIFIED,programmer analyst,Y,42931.0,2011.0,ohio
2556494,CERTIFIED,"software engineer, release",Y,83616.0,2012.0,maryland
2833818,CERTIFIED,programmer analyst,Y,50440.0,2011.0,delaware
681514,CERTIFIED,programmer analyst,Y,67621.0,2015.0,virginia
341394,CERTIFIED,software engineer,Y,72010.0,2016.0,new york
338802,CERTIFIED,"software developers, applications",N,68931.0,2016.0,illinois
1541147,CERTIFIED,computer systems analyst,Y,49338.0,2014.0,kansas
1549344,CERTIFIED,computer programmer analyst,Y,60653.0,2014.0,pennsylvania
1421315,CERTIFIED,computer systems analyst (oracle),Y,80517.0,2014.0,pennsylvania
998154,CERTIFIED,"software developer, applications",Y,61422.0,2015.0,new jersey
1788756,CERTIFIED,senior software engineer,Y,129022.0,2013.0,california
1071542,CERTIFIED,computer programmer,Y,70304.0,2015.0,new jersey
2869538,CERTIFIED,programmer analyst,Y,61214.0,2011.0,new jersey
340072,CERTIFIED,programmer analyst,Y,76107.0,2016.0,california
1839051,CERTIFIED,computer programmers,Y,63794.0,2013.0,maryland
2845735,CERTIFIED,computer software engineer applications,Y,105643.0,2011.0,california
1383701,CERTIFIED,sr. programmer analyst,Y,97406.0,2014.0,california
2949414,CERTIFIED,computer programmer-graphics,Y,49358.0,2011.0,texas
1005726,CERTIFIED,programmer analyst,Y,52499.0,2015.0,new jersey
1743921,CERTIFIED-WITHDRAWN,software developer,Y,109762.0,2014.0,california
353772,CERTIFIED,programmer  analyst,N,67184.0,2016.0,texas
352180,CERTIFIED,programmer analyst,N,52104.0,2016.0,michigan
1066981,CERTIFIED,software developer,Y,49400.0,2015.0,illinois
2585024,CERTIFIED,programmer analyst,Y,50461.0,2012.0,nebraska
2950775,CERTIFIED,software engineer,Y,103709.0,2011.0,california
2592406,CERTIFIED-WITHDRAWN,senior staff software engineer,Y,118290.0,2012.0,california
1617523,CERTIFIED,software engineer,Y,68723.0,2014.0,florida
2284222,CERTIFIED,computer systems analysts,Y,76544.0,2012.0,massachusetts
2868552,CERTIFIED,computer programmer,Y,47778.0,2011.0,tennessee
2816221,CERTIFIED,programmer analyst,Y,50440.0,2011.0,delaware
1656611,CERTIFIED,senior software engineer,Y,122179.0,2014.0,new york
2553511,CERTIFIED,programmer analyst,Y,74859.0,2012.0,texas
2084655,CERTIFIED,programmer analyst,Y,68099.0,2013.0,new jersey
416507,CERTIFIED,programmer/developer,N,69742.0,2016.0,illinois
1832648,CERTIFIED,programmer analyst,Y,55245.0,2013.0,indiana
249605,CERTIFIED,programmer analyst,N,52832.0,2016.0,california
1658241,CERTIFIED,computer programmer,Y,65666.0,2014.0,minnesota
2327012,CERTIFIED,computer systems analyst,Y,50357.0,2012.0,arkansas
253404,CERTIFIED,programmer analyst,N,45011.0,2016.0,texas
1022501,CERTIFIED,software developer,Y,48755.0,2015.0,texas
416824,CERTIFIED,programmer/developer,N,69742.0,2016.0,illinois
2258250,CERTIFIED,programmer/analyst,Y,70554.0,2012.0,new jersey
1813247,CERTIFIED,"software engineer (tech yahoo!, software dev eng,",Y,89960.0,2013.0,california
2200782,CERTIFIED,programmer analyst,Y,60362.0,2013.0,new york
1094537,CERTIFIED,sr. software engineer das camera,Y,81744.0,2015.0,michigan
1761552,CERTIFIED,mgr. software (sr. programmer analyst),Y,70533.0,2014.0,tennessee
1163890,CERTIFIED,programmer analyst,Y,84739.0,2015.0,washington
2076297,CERTIFIED,software engineer,Y,58614.0,2013.0,florida
2295577,CERTIFIED,programmer analyst,Y,39041.6,2012.0,oklahoma
2284234,CERTIFIED,computer programmer analyst,Y,59592.0,2012.0,california
2219451,CERTIFIED,computer specialist/system support and development,Y,62462.0,2013.0,ohio
398009,CERTIFIED,senior software engineer,Y,90646.0,2016.0,virginia
1212907,CERTIFIED,programmer analyst,Y,63128.0,2015.0,north carolina
1453876,CERTIFIED,computer programmer,Y,50981.0,2014.0,colorado
2321682,CERTIFIED,senior software engineer,Y,85571.0,2012.0,california
2460480,CERTIFIED,computer programmer,Y,56763.0,2012.0,connecticut
2945975,CERTIFIED,embedded software engineer,Y,62254.0,2011.0,michigan
2385986,CERTIFIED,software engineer applications,Y,61984.0,2012.0,tennessee
488113,CERTIFIED,computer specialist,N,67808.0,2016.0,new york
189221,CERTIFIED,programmer analyst,N,47154.0,2016.0,georgia
372157,CERTIFIED,software engineer,N,65811.0,2016.0,michigan
332842,WITHDRAWN,software engineer ii,Y,113381.0,2016.0,california
2642258,CERTIFIED,software engineer,Y,62254.0,2012.0,north carolina
2473884,CERTIFIED,programmer analyst,Y,52811.0,2012.0,north carolina
2905953,CERTIFIED,computer programmer,Y,34320.0,2011.0,tennessee
1930518,CERTIFIED,programmer analyst,Y,61984.0,2013.0,california
1293623,CERTIFIED-WITHDRAWN,senior software engineer,Y,104728.0,2014.0,massachusetts
2915632,CERTIFIED,programmer analyst,Y,52478.0,2011.0,new york
2309728,CERTIFIED,programmer analyst,Y,59322.0,2012.0,massachusetts
2564801,CERTIFIED,computer programmer,Y,56763.0,2012.0,connecticut
1271048,CERTIFIED-WITHDRAWN,computer systems analysts,Y,58906.0,2014.0,pennsylvania
111987,CERTIFIED,computer systems analyst,Y,85176.0,2016.0,washington
927927,CERTIFIED,principal software engineer,Y,84781.0,2015.0,california
1289944,CERTIFIED-WITHDRAWN,programmer analyst,Y,71510.0,2014.0,new jersey
1151694,CERTIFIED,senior member of technical staff - software engineering,Y,117972.0,2015.0,california
968162,CERTIFIED,computer systems analyst,Y,52874.0,2015.0,pennsylvania
676486,CERTIFIED,computer programmer,Y,62754.0,2015.0,illinois
